batman: Topic: 0, Keyword number: 0
humans: Topic: 2, Keyword number: 18
boat: Topic: 2, Keyword number: 19
planet: Topic: 2, Keyword number: 20
cameron: Topic: 2, Keyword number: 21
sci: Topic: 2, Keyword number: 22
donald_sutherland: Topic: 2, Keyword number: 23
crew: Topic: 2, Keyword number: 24
comet: Topic: 3, Keyword number: 0
impact: Topic: 3, Keyword number: 1
pig: Topic: 3, Keyword number: 2
deep_impact: Topic: 3, Keyword number: 3
leder: Topic: 3, Keyword number: 4
babe: Topic: 3, Keyword number: 5
freeman: Topic: 3, Keyword number: 6
president: Topic: 3, Keyword number: 7
leoni: Topic: 3, Keyword number: 8
deep: Topic: 3, Keyword number: 9
disaster: Topic: 3, Keyword number: 10
pay_forward: Topic: 3, Keyword number: 11
duvall: Topic: 3, Keyword number: 12
morgan: Topic: 3, Keyword number: 13
jenny: Topic: 3, Keyword number: 14
lesra: Topic: 3, Keyword number: 15
mimi_leder: Topic: 3, Keyword number: 16
elijah_wood: Topic: 3, Keyword number: 17
elijah: Topic: 3, Keyword number: 18
morgan_freeman: Topic: 3, Keyword number: 19
abigail: Topic: 3, Keyword number: 20
hurricane: Topic: 3, Keyword number: 21
pig_pig: Topic: 3, Keyword number: 22
nicholson: Topic: 3, Keyword number: 23
rubin: Topic: 3, Keyword number: 24
king: Topic: 4, Keyword number: 0
kudrow: Topic: 4, Keyword number: 1
keaton: Topic: 4, Keyword number: 2
donnell: Topic: 4, Keyword number: 3
jimmie: Topic: 4, Keyword number: 4
bachelor: Topic: 4, Keyword number: 5
ryan: Topic: 4, Keyword number: 6
hanging: Topic: 4, Keyword number: 7
meg: Topic: 4, Keyword number: 8
lisa_kudrow: Topic: 4, Keyword number: 9
meg_ryan: Topic: 4, Keyword number: 10
lisa: Topic: 4, Keyword number: 11
anna: Topic: 4, Keyword number: 12
ephron: Topic: 4, Keyword number: 13
anne: Topic: 4, Keyword number: 14
son: Topic: 4, Keyword number: 15
grandfather: Topic: 4, Keyword number: 16
eve: Topic: 4, Keyword number: 17
sisters: Topic: 4, Keyword number: 18
mccabe: Topic: 4, Keyword number: 19
snowman: Topic: 4, Keyword number: 20
diane_keaton: Topic: 4, Keyword number: 21
diane: Topic: 4, Keyword number: 22
speechless: Topic: 4, Keyword number: 23
georgia: Topic: 4, Keyword number: 24
scream: Topic: 5, Keyword number: 0
max: Topic: 5, Keyword number: 1
williamson: Topic: 5, Keyword number: 2
sammy: Topic: 5, Keyword number: 3
crab: Topic: 5, Keyword number: 4
gellar: Topic: 5, Keyword number: 5
simply_irresistible: Topic: 5, Keyword number: 6
irresistible: Topic: 5, Keyword number: 7
amanda: Topic: 5, Keyword number: 8
tingle: Topic: 5, Keyword number: 9
kevin_williamson: Topic: 5, Keyword number: 10
muresan: Topic: 5, Keyword number: 11
giant: Topic: 5, Keyword number: 12
sidney: Topic: 5, Keyword number: 13
arkin: Topic: 5, Keyword number: 14
piano: Topic: 5, Keyword number: 15
craven: Topic: 5, Keyword number: 16
mouse: Topic: 5, Keyword number: 17
ghostface: Topic: 5, Keyword number: 18
computers: Topic: 5, Keyword number: 19
stab: Topic: 5, Keyword number: 20
michelle: Topic: 5, Keyword number: 21
sarah_michelle: Topic: 5, Keyword number: 22
morse: Topic: 5, Keyword number: 23
romania: Topic: 5, Keyword number: 24
spawn: Topic: 6, Keyword number: 0
joan: Topic: 6, Keyword number: 1
besson: Topic: 6, Keyword number: 2
seth: Topic: 6, Keyword number: 3
batman: Topic: 6, Keyword number: 4
messenger: Topic: 6, Keyword number: 5
comic_book: Topic: 6, Keyword number: 6
simmons: Topic: 6, Keyword number: 7
leguizamo: Topic: 6, Keyword number: 8
jovovich: Topic: 6, Keyword number: 9
crow: Topic: 6, Keyword number: 10
leon: Topic: 6, Keyword number: 11
mcfarlane: Topic: 6, Keyword number: 12
matilda: Topic: 6, Keyword number: 13
angels: Topic: 6, Keyword number: 14
trend: Topic: 6, Keyword number: 15
joan_arc: Topic: 6, Keyword number: 16
arc: Topic: 6, Keyword number: 17
milla: Topic: 6, Keyword number: 18
mommie: Topic: 6, Keyword number: 19
jeanne: Topic: 6, Keyword number: 20
milla_jovovich: Topic: 6, Keyword number: 21
commandments: Topic: 6, Keyword number: 22
violator: Topic: 6, Keyword number: 23
luc_besson: Topic: 6, Keyword number: 24
haunting: Topic: 7, Keyword number: 0
bont: Topic: 7, Keyword number: 1
zeta: Topic: 7, Keyword number: 2
house: Topic: 7, Keyword number: 3
zeta_jones: Topic: 7, Keyword number: 4
neeson: Topic: 7, Keyword number: 5
jones: Topic: 7, Keyword number: 6
liam: Topic: 7, Keyword number: 7
liam_neeson: Topic: 7, Keyword number: 8
taylor: Topic: 7, Keyword number: 9
jan: Topic: 7, Keyword number: 10
effects: Topic: 7, Keyword number: 11
special: Topic: 7, Keyword number: 12
jan_bont: Topic: 7, Keyword number: 13
wilson: Topic: 7, Keyword number: 14
supernova: Topic: 7, Keyword number: 15
hill_house: Topic: 7, Keyword number: 16
hill: Topic: 7, Keyword number: 17
mansion: Topic: 7, Keyword number: 18
moses: Topic: 7, Keyword number: 19
spader: Topic: 7, Keyword number: 20
nell: Topic: 7, Keyword number: 21
scumball: Topic: 7, Keyword number: 22
troy: Topic: 7, Keyword number: 23
owen_wilson: Topic: 7, Keyword number: 24
tarzan: Topic: 8, Keyword number: 0
jungle: Topic: 8, Keyword number: 1
gloria: Topic: 8, Keyword number: 2
jane: Topic: 8, Keyword number: 3
lost_city: Topic: 8, Keyword number: 4
boorman: Topic: 8, Keyword number: 5
van_dien: Topic: 8, Keyword number: 6
bean: Topic: 8, Keyword number: 7
dien: Topic: 8, Keyword number: 8
tarzan_lost_city: Topic: 8, Keyword number: 9
tarzan_lost: Topic: 8, Keyword number: 10
march: Topic: 8, Keyword number: 11
casper_van: Topic: 8, Keyword number: 12
casper: Topic: 8, Keyword number: 13
zardoz: Topic: 8, Keyword number: 14
jane_march: Topic: 8, Keyword number: 15
casper_van_dien: Topic: 8, Keyword number: 16
nicky: Topic: 8, Keyword number: 17
ape: Topic: 8, Keyword number: 18
lost: Topic: 8, Keyword number: 19
van: Topic: 8, Keyword number: 20
george_jungle: Topic: 8, Keyword number: 21
lumet: Topic: 8, Keyword number: 22
city: Topic: 8, Keyword number: 23
stone: Topic: 8, Keyword number: 24
betty: Topic: 9, Keyword number: 0
vacation: Topic: 9, Keyword number: 1
blonde: Topic: 9, Keyword number: 2
modine: Topic: 9, Keyword number: 3
soap: Topic: 9, Keyword number: 4
real_blonde: Topic: 9, Keyword number: 5
american_pie: Topic: 9, Keyword number: 6
pie: Topic: 9, Keyword number: 7
blah: Topic: 9, Keyword number: 8
vegas: Topic: 9, Keyword number: 9
vegas_vacation: Topic: 9, Keyword number: 10
ferrara: Topic: 9, Keyword number: 11
labute: Topic: 9, Keyword number: 12
matthew_modine: Topic: 9, Keyword number: 13
chris_rock: Topic: 9, Keyword number: 14
photographer: Topic: 9, Keyword number: 15
keener: Topic: 9, Keyword number: 16
griswold: Topic: 9, Keyword number: 17
blah_blah: Topic: 9, Keyword number: 18
degeneres: Topic: 9, Keyword number: 19
ellen: Topic: 9, Keyword number: 20
dicillo: Topic: 9, Keyword number: 21
wellington: Topic: 9, Keyword number: 22
dolittle: Topic: 9, Keyword number: 23
quaid: Topic: 9, Keyword number: 24
hammer: Topic: 10, Keyword number: 0
momma: Topic: 10, Keyword number: 1
big_momma: Topic: 10, Keyword number: 2
lawrence: Topic: 10, Keyword number: 3
dead_bang: Topic: 10, Keyword number: 4
bang: Topic: 10, Keyword number: 5
martin_lawrence: Topic: 10, Keyword number: 6
martin: Topic: 10, Keyword number: 7
forsythe: Topic: 10, Keyword number: 8
squad: Topic: 10, Keyword number: 9
spillane: Topic: 10, Keyword number: 10
hole: Topic: 10, Keyword number: 11
kenneth: Topic: 10, Keyword number: 12
carry: Topic: 10, Keyword number: 13
epps: Topic: 10, Keyword number: 14
mod: Topic: 10, Keyword number: 15
big_momma_house: Topic: 10, Keyword number: 16
momma_house: Topic: 10, Keyword number: 17
beck: Topic: 10, Keyword number: 18
fat: Topic: 10, Keyword number: 19
ribisi: Topic: 10, Keyword number: 20
danes: Topic: 10, Keyword number: 21
mod_squad: Topic: 10, Keyword number: 22
sid: Topic: 10, Keyword number: 23
malcolm: Topic: 10, Keyword number: 24
joe: Topic: 11, Keyword number: 0
jawbreaker: Topic: 11, Keyword number: 1
gorilla: Topic: 11, Keyword number: 2
warrior: Topic: 11, Keyword number: 3
liz: Topic: 11, Keyword number: 4
julie: Topic: 11, Keyword number: 5
league: Topic: 11, Keyword number: 6
courtney: Topic: 11, Keyword number: 7
mcgowan: Topic: 11, Keyword number: 8
teen: Topic: 11, Keyword number: 9
major_league: Topic: 11, Keyword number: 10
ahmed: Topic: 11, Keyword number: 11
vikings: Topic: 11, Keyword number: 12
fern: Topic: 11, Keyword number: 13
warriors: Topic: 11, Keyword number: 14
mctiernan: Topic: 11, Keyword number: 15
jill: Topic: 11, Keyword number: 16
joe_young: Topic: 11, Keyword number: 17
mighty: Topic: 11, Keyword number: 18
baseball: Topic: 11, Keyword number: 19
gus: Topic: 11, Keyword number: 20
rose_mcgowan: Topic: 11, Keyword number: 21
mia: Topic: 11, Keyword number: 22
theron: Topic: 11, Keyword number: 23
mighty_joe: Topic: 11, Keyword number: 24
jerry: Topic: 12, Keyword number: 0
gibson: Topic: 12, Keyword number: 1
burn: Topic: 12, Keyword number: 2
weapon: Topic: 12, Keyword number: 3
luis: Topic: 12, Keyword number: 4
bottle: Topic: 12, Keyword number: 5
hard_rain: Topic: 12, Keyword number: 6
eszterhas: Topic: 12, Keyword number: 7
sin: Topic: 12, Keyword number: 8
theresa: Topic: 12, Keyword number: 9
original_sin: Topic: 12, Keyword number: 10
payback: Topic: 12, Keyword number: 11
message_bottle: Topic: 12, Keyword number: 12
jolie: Topic: 12, Keyword number: 13
julia: Topic: 12, Keyword number: 14
alice: Topic: 12, Keyword number: 15
porter: Topic: 12, Keyword number: 16
mel: Topic: 12, Keyword number: 17
ulrich: Topic: 12, Keyword number: 18
conspiracy_theory: Topic: 12, Keyword number: 19
rain: Topic: 12, Keyword number: 20
lethal: Topic: 12, Keyword number: 21
banderas: Topic: 12, Keyword number: 22
smithee: Topic: 12, Keyword number: 23
gooding: Topic: 12, Keyword number: 24
mars: Topic: 13, Keyword number: 0
mission: Topic: 13, Keyword number: 1
mission_mars: Topic: 13, Keyword number: 2
space: Topic: 13, Keyword number: 3
phantom_menace: Topic: 13, Keyword number: 4
phantom: Topic: 13, Keyword number: 5
wars: Topic: 13, Keyword number: 6
astronaut: Topic: 13, Keyword number: 7
pitt: Topic: 13, Keyword number: 8
claire: Topic: 13, Keyword number: 9
menace: Topic: 13, Keyword number: 10
star_wars: Topic: 13, Keyword number: 11
lucas: Topic: 13, Keyword number: 12
palma: Topic: 13, Keyword number: 13
wing_commander: Topic: 13, Keyword number: 14
commander: Topic: 13, Keyword number: 15
sinise: Topic: 13, Keyword number: 16
macleane: Topic: 13, Keyword number: 17
robbins: Topic: 13, Keyword number: 18
wing: Topic: 13, Keyword number: 19
forlani: Topic: 13, Keyword number: 20
red_planet: Topic: 13, Keyword number: 21
planet: Topic: 13, Keyword number: 22
connell: Topic: 13, Keyword number: 23
rescue: Topic: 13, Keyword number: 24
wild_things: Topic: 14, Keyword number: 0
kelly: Topic: 14, Keyword number: 1
blade_squad: Topic: 14, Keyword number: 2
squad: Topic: 14, Keyword number: 3
ned: Topic: 14, Keyword number: 4
quentin: Topic: 14, Keyword number: 5
wild: Topic: 14, Keyword number: 6
blade: Topic: 14, Keyword number: 7
rodriguez: Topic: 14, Keyword number: 8
murray: Topic: 14, Keyword number: 9
noir: Topic: 14, Keyword number: 10
bacon: Topic: 14, Keyword number: 11
tarantino: Topic: 14, Keyword number: 12
hurlyburly: Topic: 14, Keyword number: 13
kevin_bacon: Topic: 14, Keyword number: 14
antonio: Topic: 14, Keyword number: 15
quentin_tarantino: Topic: 14, Keyword number: 16
marc: Topic: 14, Keyword number: 17
robert_rodriguez: Topic: 14, Keyword number: 18
madonna: Topic: 14, Keyword number: 19
richards: Topic: 14, Keyword number: 20
film_noir: Topic: 14, Keyword number: 21
denise_richards: Topic: 14, Keyword number: 22
denise: Topic: 14, Keyword number: 23
analyze: Topic: 14, Keyword number: 24
film: Topic: 15, Keyword number: 0
movie: Topic: 15, Keyword number: 1
time: Topic: 15, Keyword number: 2
good: Topic: 15, Keyword number: 3
bad: Topic: 15, Keyword number: 4
character: Topic: 15, Keyword number: 5
story: Topic: 15, Keyword number: 6
plot: Topic: 15, Keyword number: 7
characters: Topic: 15, Keyword number: 8
don: Topic: 15, Keyword number: 9
doesn: Topic: 15, Keyword number: 10
people: Topic: 15, Keyword number: 11
scene: Topic: 15, Keyword number: 12
films: Topic: 15, Keyword number: 13
director: Topic: 15, Keyword number: 14
action: Topic: 15, Keyword number: 15
man: Topic: 15, Keyword number: 16
scenes: Topic: 15, Keyword number: 17
big: Topic: 15, Keyword number: 18
movies: Topic: 15, Keyword number: 19
life: Topic: 15, Keyword number: 20
work: Topic: 15, Keyword number: 21
isn: Topic: 15, Keyword number: 22
script: Topic: 15, Keyword number: 23
audience: Topic: 15, Keyword number: 24
nbsp: Topic: 16, Keyword number: 0
spice: Topic: 16, Keyword number: 1
girls: Topic: 16, Keyword number: 2
spice_girls: Topic: 16, Keyword number: 3
series: Topic: 16, Keyword number: 4
files: Topic: 16, Keyword number: 5
television: Topic: 16, Keyword number: 6
bye: Topic: 16, Keyword number: 7
carter: Topic: 16, Keyword number: 8
duchovny: Topic: 16, Keyword number: 9
roxbury: Topic: 16, Keyword number: 10
bond: Topic: 16, Keyword number: 11
fans: Topic: 16, Keyword number: 12
bye_bye_love: Topic: 16, Keyword number: 13
bye_love: Topic: 16, Keyword number: 14
bye_bye: Topic: 16, Keyword number: 15
hudson: Topic: 16, Keyword number: 16
hawk: Topic: 16, Keyword number: 17
james_bond: Topic: 16, Keyword number: 18
moore: Topic: 16, Keyword number: 19
cinema: Topic: 16, Keyword number: 20
alien: Topic: 16, Keyword number: 21
nbsp_nbsp: Topic: 16, Keyword number: 22
mulder: Topic: 16, Keyword number: 23
television_series: Topic: 16, Keyword number: 24
lambert: Topic: 17, Keyword number: 0
supergirl: Topic: 17, Keyword number: 1
superman: Topic: 17, Keyword number: 2
henstridge: Topic: 17, Keyword number: 3
christopher_lambert: Topic: 17, Keyword number: 4
big_john: Topic: 17, Keyword number: 5
aberdeen: Topic: 17, Keyword number: 6
breillat: Topic: 17, Keyword number: 7
highlander: Topic: 17, Keyword number: 8
sixth: Topic: 17, Keyword number: 9
eternity: Topic: 17, Keyword number: 10
howie: Topic: 17, Keyword number: 11
fulci: Topic: 17, Keyword number: 12
bosco: Topic: 17, Keyword number: 13
szwarc: Topic: 17, Keyword number: 14
omegahedron: Topic: 17, Keyword number: 15
sixth_sense: Topic: 17, Keyword number: 16
chaja: Topic: 17, Keyword number: 17
fear_rush: Topic: 17, Keyword number: 18
ham: Topic: 17, Keyword number: 19
kara: Topic: 17, Keyword number: 20
kaisa: Topic: 17, Keyword number: 21
tomas: Topic: 17, Keyword number: 22
skarsg: Topic: 17, Keyword number: 23
ana: Topic: 17, Keyword number: 24
lynch: Topic: 18, Keyword number: 0
brenner: Topic: 18, Keyword number: 1
general: Topic: 18, Keyword number: 2
general_daughter: Topic: 18, Keyword number: 3
west: Topic: 18, Keyword number: 4
crime: Topic: 18, Keyword number: 5
gal: Topic: 18, Keyword number: 6
dune: Topic: 18, Keyword number: 7
travolta: Topic: 18, Keyword number: 8
daughter: Topic: 18, Keyword number: 9
rape: Topic: 18, Keyword number: 10
david_lynch: Topic: 18, Keyword number: 11
kingsley: Topic: 18, Keyword number: 12
woods: Topic: 18, Keyword number: 13
sexy: Topic: 18, Keyword number: 14
army: Topic: 18, Keyword number: 15
beast: Topic: 18, Keyword number: 16
twin_peaks: Topic: 18, Keyword number: 17
peaks: Topic: 18, Keyword number: 18
sexy_beast: Topic: 18, Keyword number: 19
twin: Topic: 18, Keyword number: 20
john_travolta: Topic: 18, Keyword number: 21
gabriel: Topic: 18, Keyword number: 22
familiar: Topic: 18, Keyword number: 23
james_woods: Topic: 18, Keyword number: 24
jolie: Topic: 19, Keyword number: 0
game: Topic: 19, Keyword number: 1
tomb_raider: Topic: 19, Keyword number: 2
raider: Topic: 19, Keyword number: 3
tomb: Topic: 19, Keyword number: 4
stone: Topic: 19, Keyword number: 5
lara: Topic: 19, Keyword number: 6
jackson: Topic: 19, Keyword number: 7
angelina: Topic: 19, Keyword number: 8
showgirls: Topic: 19, Keyword number: 9
croft: Topic: 19, Keyword number: 10
fight_club: Topic: 19, Keyword number: 11
eszterhas: Topic: 19, Keyword number: 12
sharon: Topic: 19, Keyword number: 13
nomi: Topic: 19, Keyword number: 14
lara_croft: Topic: 19, Keyword number: 15
angelina_jolie: Topic: 19, Keyword number: 16
existenz: Topic: 19, Keyword number: 17
sharon_stone: Topic: 19, Keyword number: 18
fincher: Topic: 19, Keyword number: 19
basic_instinct: Topic: 19, Keyword number: 20
joe_eszterhas: Topic: 19, Keyword number: 21
verhoeven: Topic: 19, Keyword number: 22
girl_interrupted: Topic: 19, Keyword number: 23
interrupted: Topic: 19, Keyword number: 24
cage: Topic: 20, Keyword number: 0
welles: Topic: 20, Keyword number: 1
schumacher: Topic: 20, Keyword number: 2
snuff: Topic: 20, Keyword number: 3
lawyer: Topic: 20, Keyword number: 4
devil: Topic: 20, Keyword number: 5
milton: Topic: 20, Keyword number: 6
lomax: Topic: 20, Keyword number: 7
joel: Topic: 20, Keyword number: 8
nicolas: Topic: 20, Keyword number: 9
nicolas_cage: Topic: 20, Keyword number: 10
kevin: Topic: 20, Keyword number: 11
gia: Topic: 20, Keyword number: 12
charlize: Topic: 20, Keyword number: 13
phoenix: Topic: 20, Keyword number: 14
batman: Topic: 20, Keyword number: 15
joel_schumacher: Topic: 20, Keyword number: 16
gavin: Topic: 20, Keyword number: 17
civil_action: Topic: 20, Keyword number: 18
bruckheimer: Topic: 20, Keyword number: 19
charlize_theron: Topic: 20, Keyword number: 20
theron: Topic: 20, Keyword number: 21
walker: Topic: 20, Keyword number: 22
snuff_films: Topic: 20, Keyword number: 23
guccione: Topic: 20, Keyword number: 24
patch: Topic: 21, Keyword number: 0
patch_adams: Topic: 21, Keyword number: 1
adams: Topic: 21, Keyword number: 2
lucy: Topic: 21, Keyword number: 3
granger: Topic: 21, Keyword number: 4
kersey: Topic: 21, Keyword number: 5
mohr: Topic: 21, Keyword number: 6
patients: Topic: 21, Keyword number: 7
caulder: Topic: 21, Keyword number: 8
drug: Topic: 21, Keyword number: 9
bronson: Topic: 21, Keyword number: 10
cigarettes: Topic: 21, Keyword number: 11
monica: Topic: 21, Keyword number: 12
instinct: Topic: 21, Keyword number: 13
medical: Topic: 21, Keyword number: 14
powell: Topic: 21, Keyword number: 15
jay_mohr: Topic: 21, Keyword number: 16
granger_review: Topic: 21, Keyword number: 17
susan_granger: Topic: 21, Keyword number: 18
granger_movie_gauge: Topic: 21, Keyword number: 19
movie_gauge: Topic: 21, Keyword number: 20
gauge: Topic: 21, Keyword number: 21
granger_movie: Topic: 21, Keyword number: 22
susan_granger_review: Topic: 21, Keyword number: 23
susan: Topic: 21, Keyword number: 24
cruise: Topic: 22, Keyword number: 0
woo: Topic: 22, Keyword number: 1
mel: Topic: 22, Keyword number: 2
wyatt: Topic: 22, Keyword number: 3
jesse: Topic: 22, Keyword number: 4
brooks: Topic: 22, Keyword number: 5
mel_brooks: Topic: 22, Keyword number: 6
jesse_james: Topic: 22, Keyword number: 7
costner: Topic: 22, Keyword number: 8
postman: Topic: 22, Keyword number: 9
quaid: Topic: 22, Keyword number: 10
outlaws: Topic: 22, Keyword number: 11
robin_hood: Topic: 22, Keyword number: 12
blazing: Topic: 22, Keyword number: 13
tom_cruise: Topic: 22, Keyword number: 14
timothy: Topic: 22, Keyword number: 15
railroad: Topic: 22, Keyword number: 16
ethan: Topic: 22, Keyword number: 17
kasdan: Topic: 22, Keyword number: 18
wyatt_earp: Topic: 22, Keyword number: 19
earp: Topic: 22, Keyword number: 20
thandie: Topic: 22, Keyword number: 21
nyah: Topic: 22, Keyword number: 22
farrell: Topic: 22, Keyword number: 23
blossom: Topic: 22, Keyword number: 24
murphy: Topic: 23, Keyword number: 0
metro: Topic: 23, Keyword number: 1
heckerling: Topic: 23, Keyword number: 2
eddie_murphy: Topic: 23, Keyword number: 3
eddie: Topic: 23, Keyword number: 4
dora: Topic: 23, Keyword number: 5
beverly_hills: Topic: 23, Keyword number: 6
beverly: Topic: 23, Keyword number: 7
hills: Topic: 23, Keyword number: 8
professor: Topic: 23, Keyword number: 9
paul: Topic: 23, Keyword number: 10
loser: Topic: 23, Keyword number: 11
woo: Topic: 23, Keyword number: 12
roper: Topic: 23, Keyword number: 13
korda: Topic: 23, Keyword number: 14
jjaks: Topic: 23, Keyword number: 15
san_francisco: Topic: 23, Keyword number: 16
francisco: Topic: 23, Keyword number: 17
sherman: Topic: 23, Keyword number: 18
ray: Topic: 23, Keyword number: 19
freddie: Topic: 23, Keyword number: 20
alcott: Topic: 23, Keyword number: 21
feeling_minnesota: Topic: 23, Keyword number: 22
minnesota: Topic: 23, Keyword number: 23
robbin: Topic: 23, Keyword number: 24
julie: Topic: 24, Keyword number: 0
summer: Topic: 24, Keyword number: 1
hewitt: Topic: 24, Keyword number: 2
scream: Topic: 24, Keyword number: 3
darren: Topic: 24, Keyword number: 4
snake_eyes: Topic: 24, Keyword number: 5
silverman: Topic: 24, Keyword number: 6
snake: Topic: 24, Keyword number: 7
judith: Topic: 24, Keyword number: 8
karla: Topic: 24, Keyword number: 9
jennifer_love_hewitt: Topic: 24, Keyword number: 10
jennifer_love: Topic: 24, Keyword number: 11
love_hewitt: Topic: 24, Keyword number: 12
sequel: Topic: 24, Keyword number: 13
slasher: Topic: 24, Keyword number: 14
fisherman: Topic: 24, Keyword number: 15
brandy: Topic: 24, Keyword number: 16
cage: Topic: 24, Keyword number: 17
palma: Topic: 24, Keyword number: 18
jennifer: Topic: 24, Keyword number: 19
saving_silverman: Topic: 24, Keyword number: 20
hook: Topic: 24, Keyword number: 21
wayne: Topic: 24, Keyword number: 22
horror: Topic: 24, Keyword number: 23
jia: Topic: 24, Keyword number: 24
shakespeare: Topic: 25, Keyword number: 0
jakob: Topic: 25, Keyword number: 1
finn: Topic: 25, Keyword number: 2
thompson: Topic: 25, Keyword number: 3
gilliam: Topic: 25, Keyword number: 4
dwayne: Topic: 25, Keyword number: 5
jakob_liar: Topic: 25, Keyword number: 6
liar: Topic: 25, Keyword number: 7
ghetto: Topic: 25, Keyword number: 8
roro: Topic: 25, Keyword number: 9
entrapment: Topic: 25, Keyword number: 10
zeta: Topic: 25, Keyword number: 11
romeo: Topic: 25, Keyword number: 12
zeta_jones: Topic: 25, Keyword number: 13
hav: Topic: 25, Keyword number: 14
estella: Topic: 25, Keyword number: 15
mans: Topic: 25, Keyword number: 16
fear_loathing: Topic: 25, Keyword number: 17
gwyneth: Topic: 25, Keyword number: 18
acid: Topic: 25, Keyword number: 19
dutch: Topic: 25, Keyword number: 20
duke: Topic: 25, Keyword number: 21
las_vegas: Topic: 25, Keyword number: 22
hunter: Topic: 25, Keyword number: 23
loathing: Topic: 25, Keyword number: 24
arnold: Topic: 26, Keyword number: 0
wrestling: Topic: 26, Keyword number: 1
schwarzenegger: Topic: 26, Keyword number: 2
wcw: Topic: 26, Keyword number: 3
gadget: Topic: 26, Keyword number: 4
devil: Topic: 26, Keyword number: 5
satan: Topic: 26, Keyword number: 6
studio: Topic: 26, Keyword number: 7
shane: Topic: 26, Keyword number: 8
days: Topic: 26, Keyword number: 9
jericho: Topic: 26, Keyword number: 10
myers: Topic: 26, Keyword number: 11
king: Topic: 26, Keyword number: 12
gordie: Topic: 26, Keyword number: 13
rubell: Topic: 26, Keyword number: 14
wrestlers: Topic: 26, Keyword number: 15
bischoff: Topic: 26, Keyword number: 16
sinclair: Topic: 26, Keyword number: 17
byrne: Topic: 26, Keyword number: 18
claw: Topic: 26, Keyword number: 19
inspector: Topic: 26, Keyword number: 20
christine: Topic: 26, Keyword number: 21
arnold_schwarzenegger: Topic: 26, Keyword number: 22
phillippe: Topic: 26, Keyword number: 23
rumble: Topic: 26, Keyword number: 24
witch: Topic: 27, Keyword number: 0
blair_witch: Topic: 27, Keyword number: 1
blair: Topic: 27, Keyword number: 2
francis: Topic: 27, Keyword number: 3
scary: Topic: 27, Keyword number: 4
haunted: Topic: 27, Keyword number: 5
blair_witch_project: Topic: 27, Keyword number: 6
witch_project: Topic: 27, Keyword number: 7
ship: Topic: 27, Keyword number: 8
house_haunted_hill: Topic: 27, Keyword number: 9
haunted_hill: Topic: 27, Keyword number: 10
woods: Topic: 27, Keyword number: 11
corky: Topic: 27, Keyword number: 12
house_haunted: Topic: 27, Keyword number: 13
