movie: Topic: 0, Keyword number: 0
character: Topic: 4, Keyword number: 2
bond: Topic: 4, Keyword number: 3
plays: Topic: 4, Keyword number: 4
role: Topic: 4, Keyword number: 5
mary: Topic: 4, Keyword number: 6
movies: Topic: 4, Keyword number: 7
scenes: Topic: 4, Keyword number: 8
david: Topic: 4, Keyword number: 9
setting: Topic: 4, Keyword number: 10
making: Topic: 4, Keyword number: 11
usual: Topic: 4, Keyword number: 12
stand: Topic: 4, Keyword number: 13
coming: Topic: 4, Keyword number: 14
solid: Topic: 4, Keyword number: 15
mystery: Topic: 4, Keyword number: 16
subtle: Topic: 4, Keyword number: 17
things: Topic: 4, Keyword number: 18
watching: Topic: 4, Keyword number: 19
thriller: Topic: 4, Keyword number: 20
set: Topic: 4, Keyword number: 21
death: Topic: 4, Keyword number: 22
films: Topic: 4, Keyword number: 23
strong: Topic: 4, Keyword number: 24
movie: Topic: 5, Keyword number: 0
vampire: Topic: 5, Keyword number: 1
blade: Topic: 5, Keyword number: 2
films: Topic: 5, Keyword number: 3
future: Topic: 5, Keyword number: 4
film: Topic: 5, Keyword number: 5
man: Topic: 5, Keyword number: 6
movies: Topic: 5, Keyword number: 7
father: Topic: 5, Keyword number: 8
army: Topic: 5, Keyword number: 9
interesting: Topic: 5, Keyword number: 10
giant: Topic: 5, Keyword number: 11
sort: Topic: 5, Keyword number: 12
money: Topic: 5, Keyword number: 13
living: Topic: 5, Keyword number: 14
life: Topic: 5, Keyword number: 15
find: Topic: 5, Keyword number: 16
age: Topic: 5, Keyword number: 17
high: Topic: 5, Keyword number: 18
don: Topic: 5, Keyword number: 19
intelligence: Topic: 5, Keyword number: 20
story: Topic: 5, Keyword number: 21
costner: Topic: 5, Keyword number: 22
crew: Topic: 5, Keyword number: 23
good: Topic: 5, Keyword number: 24
film: Topic: 6, Keyword number: 0
alien: Topic: 6, Keyword number: 1
aliens: Topic: 6, Keyword number: 2
great: Topic: 6, Keyword number: 3
style: Topic: 6, Keyword number: 4
films: Topic: 6, Keyword number: 5
characters: Topic: 6, Keyword number: 6
ripley: Topic: 6, Keyword number: 7
story: Topic: 6, Keyword number: 8
movie: Topic: 6, Keyword number: 9
love: Topic: 6, Keyword number: 10
wrong: Topic: 6, Keyword number: 11
time: Topic: 6, Keyword number: 12
floor: Topic: 6, Keyword number: 13
don: Topic: 6, Keyword number: 14
deal: Topic: 6, Keyword number: 15
order: Topic: 6, Keyword number: 16
woman: Topic: 6, Keyword number: 17
place: Topic: 6, Keyword number: 18
sequence: Topic: 6, Keyword number: 19
town: Topic: 6, Keyword number: 20
completely: Topic: 6, Keyword number: 21
pain: Topic: 6, Keyword number: 22
played: Topic: 6, Keyword number: 23
character: Topic: 6, Keyword number: 24
war: Topic: 7, Keyword number: 0
violence: Topic: 7, Keyword number: 1
feel: Topic: 7, Keyword number: 2
strong: Topic: 7, Keyword number: 3
film: Topic: 7, Keyword number: 4
gay: Topic: 7, Keyword number: 5
bruce: Topic: 7, Keyword number: 6
characters: Topic: 7, Keyword number: 7
actor: Topic: 7, Keyword number: 8
man: Topic: 7, Keyword number: 9
men: Topic: 7, Keyword number: 10
times: Topic: 7, Keyword number: 11
good: Topic: 7, Keyword number: 12
british: Topic: 7, Keyword number: 13
actors: Topic: 7, Keyword number: 14
america: Topic: 7, Keyword number: 15
head: Topic: 7, Keyword number: 16
people: Topic: 7, Keyword number: 17
stars: Topic: 7, Keyword number: 18
brilliant: Topic: 7, Keyword number: 19
drama: Topic: 7, Keyword number: 20
story: Topic: 7, Keyword number: 21
william: Topic: 7, Keyword number: 22
believable: Topic: 7, Keyword number: 23
wife: Topic: 7, Keyword number: 24
film: Topic: 8, Keyword number: 0
movie: Topic: 8, Keyword number: 1
black: Topic: 8, Keyword number: 2
american: Topic: 8, Keyword number: 3
takes: Topic: 8, Keyword number: 4
guy: Topic: 8, Keyword number: 5
amazing: Topic: 8, Keyword number: 6
picture: Topic: 8, Keyword number: 7
vincent: Topic: 8, Keyword number: 8
men: Topic: 8, Keyword number: 9
point: Topic: 8, Keyword number: 10
jones: Topic: 8, Keyword number: 11
sweet: Topic: 8, Keyword number: 12
didn: Topic: 8, Keyword number: 13
entire: Topic: 8, Keyword number: 14
great: Topic: 8, Keyword number: 15
music: Topic: 8, Keyword number: 16
sweetback: Topic: 8, Keyword number: 17
freedom: Topic: 8, Keyword number: 18
man: Topic: 8, Keyword number: 19
barry: Topic: 8, Keyword number: 20
space: Topic: 8, Keyword number: 21
shot: Topic: 8, Keyword number: 22
story: Topic: 8, Keyword number: 23
chance: Topic: 8, Keyword number: 24
film: Topic: 9, Keyword number: 0
characters: Topic: 9, Keyword number: 1
story: Topic: 9, Keyword number: 2
good: Topic: 9, Keyword number: 3
screen: Topic: 9, Keyword number: 4
comedy: Topic: 9, Keyword number: 5
finally: Topic: 9, Keyword number: 6
friends: Topic: 9, Keyword number: 7
sidney: Topic: 9, Keyword number: 8
note: Topic: 9, Keyword number: 9
high: Topic: 9, Keyword number: 10
funny: Topic: 9, Keyword number: 11
written: Topic: 9, Keyword number: 12
work: Topic: 9, Keyword number: 13
family: Topic: 9, Keyword number: 14
relationship: Topic: 9, Keyword number: 15
night: Topic: 9, Keyword number: 16
music: Topic: 9, Keyword number: 17
jerry: Topic: 9, Keyword number: 18
hit: Topic: 9, Keyword number: 19
children: Topic: 9, Keyword number: 20
studio: Topic: 9, Keyword number: 21
people: Topic: 9, Keyword number: 22
doesn: Topic: 9, Keyword number: 23
animation: Topic: 9, Keyword number: 24
effects: Topic: 10, Keyword number: 0
interesting: Topic: 10, Keyword number: 1
ellie: Topic: 10, Keyword number: 2
earth: Topic: 10, Keyword number: 3
film: Topic: 10, Keyword number: 4
french: Topic: 10, Keyword number: 5
movie: Topic: 10, Keyword number: 6
annie: Topic: 10, Keyword number: 7
kind: Topic: 10, Keyword number: 8
strong: Topic: 10, Keyword number: 9
original: Topic: 10, Keyword number: 10
sky: Topic: 10, Keyword number: 11
contact: Topic: 10, Keyword number: 12
dark: Topic: 10, Keyword number: 13
work: Topic: 10, Keyword number: 14
series: Topic: 10, Keyword number: 15
visuals: Topic: 10, Keyword number: 16
sci: Topic: 10, Keyword number: 17
risk: Topic: 10, Keyword number: 18
premise: Topic: 10, Keyword number: 19
wrong: Topic: 10, Keyword number: 20
eyes: Topic: 10, Keyword number: 21
actors: Topic: 10, Keyword number: 22
robert: Topic: 10, Keyword number: 23
viewers: Topic: 10, Keyword number: 24
film: Topic: 11, Keyword number: 0
films: Topic: 11, Keyword number: 1
chan: Topic: 11, Keyword number: 2
great: Topic: 11, Keyword number: 3
jackie_chan: Topic: 11, Keyword number: 4
things: Topic: 11, Keyword number: 5
nights: Topic: 11, Keyword number: 6
characters: Topic: 11, Keyword number: 7
boogie_nights: Topic: 11, Keyword number: 8
boogie: Topic: 11, Keyword number: 9
job: Topic: 11, Keyword number: 10
sex: Topic: 11, Keyword number: 11
acting: Topic: 11, Keyword number: 12
doesn: Topic: 11, Keyword number: 13
work: Topic: 11, Keyword number: 14
live: Topic: 11, Keyword number: 15
people: Topic: 11, Keyword number: 16
period: Topic: 11, Keyword number: 17
malkovich: Topic: 11, Keyword number: 18
surprise: Topic: 11, Keyword number: 19
played: Topic: 11, Keyword number: 20
porn: Topic: 11, Keyword number: 21
man: Topic: 11, Keyword number: 22
version: Topic: 11, Keyword number: 23
high: Topic: 11, Keyword number: 24
film: Topic: 12, Keyword number: 0
scenes: Topic: 12, Keyword number: 1
good: Topic: 12, Keyword number: 2
cast: Topic: 12, Keyword number: 3
don: Topic: 12, Keyword number: 4
love: Topic: 12, Keyword number: 5
man: Topic: 12, Keyword number: 6
performance: Topic: 12, Keyword number: 7
scene: Topic: 12, Keyword number: 8
lot: Topic: 12, Keyword number: 9
real: Topic: 12, Keyword number: 10
people: Topic: 12, Keyword number: 11
set: Topic: 12, Keyword number: 12
sequence: Topic: 12, Keyword number: 13
office: Topic: 12, Keyword number: 14
couple: Topic: 12, Keyword number: 15
plot: Topic: 12, Keyword number: 16
movies: Topic: 12, Keyword number: 17
time: Topic: 12, Keyword number: 18
movie: Topic: 12, Keyword number: 19
bill: Topic: 12, Keyword number: 20
strange: Topic: 12, Keyword number: 21
didn: Topic: 12, Keyword number: 22
bit: Topic: 12, Keyword number: 23
finds: Topic: 12, Keyword number: 24
movie: Topic: 13, Keyword number: 0
titanic: Topic: 13, Keyword number: 1
story: Topic: 13, Keyword number: 2
day: Topic: 13, Keyword number: 3
oscar: Topic: 13, Keyword number: 4
friend: Topic: 13, Keyword number: 5
attention: Topic: 13, Keyword number: 6
lot: Topic: 13, Keyword number: 7
doesn: Topic: 13, Keyword number: 8
full: Topic: 13, Keyword number: 9
rocky: Topic: 13, Keyword number: 10
long: Topic: 13, Keyword number: 11
playing: Topic: 13, Keyword number: 12
scene: Topic: 13, Keyword number: 13
played: Topic: 13, Keyword number: 14
year: Topic: 13, Keyword number: 15
family: Topic: 13, Keyword number: 16
hell: Topic: 13, Keyword number: 17
russell: Topic: 13, Keyword number: 18
private: Topic: 13, Keyword number: 19
war: Topic: 13, Keyword number: 20
great: Topic: 13, Keyword number: 21
film: Topic: 13, Keyword number: 22
branagh: Topic: 13, Keyword number: 23
man: Topic: 13, Keyword number: 24
comedy: Topic: 14, Keyword number: 0
mother: Topic: 14, Keyword number: 1
relationship: Topic: 14, Keyword number: 2
dialogue: Topic: 14, Keyword number: 3
character: Topic: 14, Keyword number: 4
situation: Topic: 14, Keyword number: 5
life: Topic: 14, Keyword number: 6
smart: Topic: 14, Keyword number: 7
turns: Topic: 14, Keyword number: 8
find: Topic: 14, Keyword number: 9
performance: Topic: 14, Keyword number: 10
material: Topic: 14, Keyword number: 11
cast: Topic: 14, Keyword number: 12
screenplay: Topic: 14, Keyword number: 13
romance: Topic: 14, Keyword number: 14
lives: Topic: 14, Keyword number: 15
father: Topic: 14, Keyword number: 16
films: Topic: 14, Keyword number: 17
margaret: Topic: 14, Keyword number: 18
interest: Topic: 14, Keyword number: 19
audiences: Topic: 14, Keyword number: 20
result: Topic: 14, Keyword number: 21
son: Topic: 14, Keyword number: 22
surprisingly: Topic: 14, Keyword number: 23
things: Topic: 14, Keyword number: 24
film: Topic: 15, Keyword number: 0
carter: Topic: 15, Keyword number: 1
scene: Topic: 15, Keyword number: 2
young: Topic: 15, Keyword number: 3
life: Topic: 15, Keyword number: 4
character: Topic: 15, Keyword number: 5
rest: Topic: 15, Keyword number: 6
band: Topic: 15, Keyword number: 7
full: Topic: 15, Keyword number: 8
cop: Topic: 15, Keyword number: 9
dreams: Topic: 15, Keyword number: 10
leave: Topic: 15, Keyword number: 11
oscar: Topic: 15, Keyword number: 12
things: Topic: 15, Keyword number: 13
violence: Topic: 15, Keyword number: 14
antz: Topic: 15, Keyword number: 15
stage: Topic: 15, Keyword number: 16
doesn: Topic: 15, Keyword number: 17
year: Topic: 15, Keyword number: 18
case: Topic: 15, Keyword number: 19
mamet: Topic: 15, Keyword number: 20
hard: Topic: 15, Keyword number: 21
story: Topic: 15, Keyword number: 22
school: Topic: 15, Keyword number: 23
watch: Topic: 15, Keyword number: 24
disney: Topic: 16, Keyword number: 0
scream: Topic: 16, Keyword number: 1
mulan: Topic: 16, Keyword number: 2
animated: Topic: 16, Keyword number: 3
film: Topic: 16, Keyword number: 4
time: Topic: 16, Keyword number: 5
killer: Topic: 16, Keyword number: 6
animation: Topic: 16, Keyword number: 7
burton: Topic: 16, Keyword number: 8
feature: Topic: 16, Keyword number: 9
movie: Topic: 16, Keyword number: 10
powers: Topic: 16, Keyword number: 11
voice: Topic: 16, Keyword number: 12
features: Topic: 16, Keyword number: 13
father: Topic: 16, Keyword number: 14
matter: Topic: 16, Keyword number: 15
place: Topic: 16, Keyword number: 16
works: Topic: 16, Keyword number: 17
imagine: Topic: 16, Keyword number: 18
release: Topic: 16, Keyword number: 19
america: Topic: 16, Keyword number: 20
taran: Topic: 16, Keyword number: 21
tim: Topic: 16, Keyword number: 22
book: Topic: 16, Keyword number: 23
craven: Topic: 16, Keyword number: 24
truman: Topic: 17, Keyword number: 0
film: Topic: 17, Keyword number: 1
science: Topic: 17, Keyword number: 2
people: Topic: 17, Keyword number: 3
work: Topic: 17, Keyword number: 4
characters: Topic: 17, Keyword number: 5
thing: Topic: 17, Keyword number: 6
blood: Topic: 17, Keyword number: 7
carrey: Topic: 17, Keyword number: 8
real: Topic: 17, Keyword number: 9
science_fiction: Topic: 17, Keyword number: 10
years: Topic: 17, Keyword number: 11
shrek: Topic: 17, Keyword number: 12
person: Topic: 17, Keyword number: 13
radio: Topic: 17, Keyword number: 14
hollywood: Topic: 17, Keyword number: 15
set: Topic: 17, Keyword number: 16
drama: Topic: 17, Keyword number: 17
small: Topic: 17, Keyword number: 18
idea: Topic: 17, Keyword number: 19
question: Topic: 17, Keyword number: 20
intelligent: Topic: 17, Keyword number: 21
tale: Topic: 17, Keyword number: 22
including: Topic: 17, Keyword number: 23
john: Topic: 17, Keyword number: 24
children: Topic: 18, Keyword number: 0
picture: Topic: 18, Keyword number: 1
red: Topic: 18, Keyword number: 2
parents: Topic: 18, Keyword number: 3
time: Topic: 18, Keyword number: 4
war: Topic: 18, Keyword number: 5
young: Topic: 18, Keyword number: 6
performance: Topic: 18, Keyword number: 7
small: Topic: 18, Keyword number: 8
minutes: Topic: 18, Keyword number: 9
battle: Topic: 18, Keyword number: 10
whale: Topic: 18, Keyword number: 11
story: Topic: 18, Keyword number: 12
man: Topic: 18, Keyword number: 13
lost: Topic: 18, Keyword number: 14
christmas: Topic: 18, Keyword number: 15
deep: Topic: 18, Keyword number: 16
school: Topic: 18, Keyword number: 17
fashion: Topic: 18, Keyword number: 18
remember: Topic: 18, Keyword number: 19
american: Topic: 18, Keyword number: 20
attorney: Topic: 18, Keyword number: 21
point: Topic: 18, Keyword number: 22
james: Topic: 18, Keyword number: 23
scene: Topic: 18, Keyword number: 24
john: Topic: 19, Keyword number: 0
musical: Topic: 19, Keyword number: 1
school: Topic: 19, Keyword number: 2
killer: Topic: 19, Keyword number: 3
michael: Topic: 19, Keyword number: 4
travolta: Topic: 19, Keyword number: 5
years: Topic: 19, Keyword number: 6
david: Topic: 19, Keyword number: 7
turn: Topic: 19, Keyword number: 8
argento: Topic: 19, Keyword number: 9
mind: Topic: 19, Keyword number: 10
wrote: Topic: 19, Keyword number: 11
house: Topic: 19, Keyword number: 12
prison: Topic: 19, Keyword number: 13
mystery: Topic: 19, Keyword number: 14
rock: Topic: 19, Keyword number: 15
don: Topic: 19, Keyword number: 16
reese: Topic: 19, Keyword number: 17
vision: Topic: 19, Keyword number: 18
final: Topic: 19, Keyword number: 19
turns: Topic: 19, Keyword number: 20
changed: Topic: 19, Keyword number: 21
soundtrack: Topic: 19, Keyword number: 22
angry: Topic: 19, Keyword number: 23
story: Topic: 19, Keyword number: 24
film: Topic: 20, Keyword number: 0
story: Topic: 20, Keyword number: 1
long: Topic: 20, Keyword number: 2
spielberg: Topic: 20, Keyword number: 3
henry: Topic: 20, Keyword number: 4
time: Topic: 20, Keyword number: 5
making: Topic: 20, Keyword number: 6
mind: Topic: 20, Keyword number: 7
note: Topic: 20, Keyword number: 8
laugh: Topic: 20, Keyword number: 9
times: Topic: 20, Keyword number: 10
human: Topic: 20, Keyword number: 11
falls: Topic: 20, Keyword number: 12
scene: Topic: 20, Keyword number: 13
ends: Topic: 20, Keyword number: 14
court: Topic: 20, Keyword number: 15
slave: Topic: 20, Keyword number: 16
holiday: Topic: 20, Keyword number: 17
mob: Topic: 20, Keyword number: 18
love: Topic: 20, Keyword number: 19
gun: Topic: 20, Keyword number: 20
dance: Topic: 20, Keyword number: 21
choice: Topic: 20, Keyword number: 22
worth: Topic: 20, Keyword number: 23
pam: Topic: 20, Keyword number: 24
movie: Topic: 21, Keyword number: 0
action: Topic: 21, Keyword number: 1
fun: Topic: 21, Keyword number: 2
fiction: Topic: 21, Keyword number: 3
time: Topic: 21, Keyword number: 4
matrix: Topic: 21, Keyword number: 5
real: Topic: 21, Keyword number: 6
comedy: Topic: 21, Keyword number: 7
dead: Topic: 21, Keyword number: 8
film: Topic: 21, Keyword number: 9
pulp_fiction: Topic: 21, Keyword number: 10
special: Topic: 21, Keyword number: 11
movies: Topic: 21, Keyword number: 12
written: Topic: 21, Keyword number: 13
scenes: Topic: 21, Keyword number: 14
joe: Topic: 21, Keyword number: 15
group: Topic: 21, Keyword number: 16
bad: Topic: 21, Keyword number: 17
light: Topic: 21, Keyword number: 18
play: Topic: 21, Keyword number: 19
city: Topic: 21, Keyword number: 20
picture: Topic: 21, Keyword number: 21
dark: Topic: 21, Keyword number: 22
thing: Topic: 21, Keyword number: 23
computer: Topic: 21, Keyword number: 24
film: Topic: 22, Keyword number: 0
time: Topic: 22, Keyword number: 1
jack: Topic: 22, Keyword number: 2
crime: Topic: 22, Keyword number: 3
character: Topic: 22, Keyword number: 4
doesn: Topic: 22, Keyword number: 5
martin: Topic: 22, Keyword number: 6
pretty: Topic: 22, Keyword number: 7
characters: Topic: 22, Keyword number: 8
scene: Topic: 22, Keyword number: 9
life: Topic: 22, Keyword number: 10
simply: Topic: 22, Keyword number: 11
actors: Topic: 22, Keyword number: 12
element: Topic: 22, Keyword number: 13
completely: Topic: 22, Keyword number: 14
man: Topic: 22, Keyword number: 15
sonny: Topic: 22, Keyword number: 16
walter: Topic: 22, Keyword number: 17
car: Topic: 22, Keyword number: 18
drug: Topic: 22, Keyword number: 19
bowfinger: Topic: 22, Keyword number: 20
totally: Topic: 22, Keyword number: 21
bring: Topic: 22, Keyword number: 22
stone: Topic: 22, Keyword number: 23
sequences: Topic: 22, Keyword number: 24
life: Topic: 23, Keyword number: 0
simon: Topic: 23, Keyword number: 1
audience: Topic: 23, Keyword number: 2
true: Topic: 23, Keyword number: 3
love: Topic: 23, Keyword number: 4
movie: Topic: 23, Keyword number: 5
jackie: Topic: 23, Keyword number: 6
arts: Topic: 23, Keyword number: 7
style: Topic: 23, Keyword number: 8
martial_arts: Topic: 23, Keyword number: 9
role: Topic: 23, Keyword number: 10
father: Topic: 23, Keyword number: 11
dark: Topic: 23, Keyword number: 12
film: Topic: 23, Keyword number: 13
real: Topic: 23, Keyword number: 14
school: Topic: 23, Keyword number: 15
high: Topic: 23, Keyword number: 16
george: Topic: 23, Keyword number: 17
perfect: Topic: 23, Keyword number: 18
fact: Topic: 23, Keyword number: 19
didn: Topic: 23, Keyword number: 20
heart: Topic: 23, Keyword number: 21
years: Topic: 23, Keyword number: 22
wasn: Topic: 23, Keyword number: 23
character: Topic: 23, Keyword number: 24
film: Topic: 24, Keyword number: 0
story: Topic: 24, Keyword number: 1
woody: Topic: 24, Keyword number: 2
toy: Topic: 24, Keyword number: 3
dog: Topic: 24, Keyword number: 4
allen: Topic: 24, Keyword number: 5
voice: Topic: 24, Keyword number: 6
movie: Topic: 24, Keyword number: 7
people: Topic: 24, Keyword number: 8
great: Topic: 24, Keyword number: 9
funny: Topic: 24, Keyword number: 10
toy_story: Topic: 24, Keyword number: 11
original: Topic: 24, Keyword number: 12
life: Topic: 24, Keyword number: 13
toys: Topic: 24, Keyword number: 14
humor: Topic: 24, Keyword number: 15
lives: Topic: 24, Keyword number: 16
buzz: Topic: 24, Keyword number: 17
characters: Topic: 24, Keyword number: 18
live: Topic: 24, Keyword number: 19
kids: Topic: 24, Keyword number: 20
witty: Topic: 24, Keyword number: 21
kind: Topic: 24, Keyword number: 22
future: Topic: 24, Keyword number: 23
list: Topic: 24, Keyword number: 24
movie: Topic: 25, Keyword number: 0
shakespeare: Topic: 25, Keyword number: 1
house: Topic: 25, Keyword number: 2
people: Topic: 25, Keyword number: 3
comedy: Topic: 25, Keyword number: 4
film: Topic: 25, Keyword number: 5
jar: Topic: 25, Keyword number: 6
year: Topic: 25, Keyword number: 7
guy: Topic: 25, Keyword number: 8
find: Topic: 25, Keyword number: 9
good: Topic: 25, Keyword number: 10
english: Topic: 25, Keyword number: 11
dance: Topic: 25, Keyword number: 12
main: Topic: 25, Keyword number: 13
amy: Topic: 25, Keyword number: 14
written: Topic: 25, Keyword number: 15
charming: Topic: 25, Keyword number: 16
feel: Topic: 25, Keyword number: 17
story: Topic: 25, Keyword number: 18
big: Topic: 25, Keyword number: 19
qui_gon: Topic: 25, Keyword number: 20
characters: Topic: 25, Keyword number: 21
romeo: Topic: 25, Keyword number: 22
amusing: Topic: 25, Keyword number: 23
mcgregor: Topic: 25, Keyword number: 24
sex: Topic: 26, Keyword number: 0
film: Topic: 26, Keyword number: 1
movie: Topic: 26, Keyword number: 2
funny: Topic: 26, Keyword number: 3
don: Topic: 26, Keyword number: 4
sam: Topic: 26, Keyword number: 5
wild: Topic: 26, Keyword number: 6
isn: Topic: 26, Keyword number: 7
deep: Topic: 26, Keyword number: 8
blue: Topic: 26, Keyword number: 9
plays: Topic: 26, Keyword number: 10
fact: Topic: 26, Keyword number: 11
good: Topic: 26, Keyword number: 12
plot: Topic: 26, Keyword number: 13
beatty: Topic: 26, Keyword number: 14
contact: Topic: 26, Keyword number: 15
form: Topic: 26, Keyword number: 16
feels: Topic: 26, Keyword number: 17
major: Topic: 26, Keyword number: 18
long: Topic: 26, Keyword number: 19
wallace: Topic: 26, Keyword number: 20
sexual: Topic: 26, Keyword number: 21
hour: Topic: 26, Keyword number: 22
beautiful: Topic: 26, Keyword number: 23
pretty: Topic: 26, Keyword number: 24
time: Topic: 27, Keyword number: 0
williams: Topic: 27, Keyword number: 1
dialogue: Topic: 27, Keyword number: 2
city: Topic: 27, Keyword number: 3
hunting: Topic: 27, Keyword number: 4
good: Topic: 27, Keyword number: 5
summer: Topic: 27, Keyword number: 6
great: Topic: 27, Keyword number: 7
film: Topic: 27, Keyword number: 8
james: Topic: 27, Keyword number: 9
john: Topic: 27, Keyword number: 10
find: Topic: 27, Keyword number: 11
babe: Topic: 27, Keyword number: 12
series: Topic: 27, Keyword number: 13
teacher: Topic: 27, Keyword number: 14
cast: Topic: 27, Keyword number: 15
altman: Topic: 27, Keyword number: 16
life: Topic: 27, Keyword number: 17
movie: Topic: 27, Keyword number: 18
files: Topic: 27, Keyword number: 19
performances: Topic: 27, Keyword number: 20
sets: Topic: 27, Keyword number: 21
piece: Topic: 27, Keyword number: 22
clear: Topic: 27, Keyword number: 23
parents: Topic: 27, Keyword number: 24
film: Topic: 28, Keyword number: 0
character: Topic: 28, Keyword number: 1
plot: Topic: 28, Keyword number: 2
time: Topic: 28, Keyword number: 3
movies: Topic: 28, Keyword number: 4
fact: Topic: 28, Keyword number: 5
running: Topic: 28, Keyword number: 6
action: Topic: 28, Keyword number: 7
police: Topic: 28, Keyword number: 8
young: Topic: 28, Keyword number: 9
story: Topic: 28, Keyword number: 10
melvin: Topic: 28, Keyword number: 11
scenes: Topic: 28, Keyword number: 12
doesn: Topic: 28, Keyword number: 13
role: Topic: 28, Keyword number: 14
roger: Topic: 28, Keyword number: 15
carol: Topic: 28, Keyword number: 16
scene: Topic: 28, Keyword number: 17
chris: Topic: 28, Keyword number: 18
hour: Topic: 28, Keyword number: 19
details: Topic: 28, Keyword number: 20
partner: Topic: 28, Keyword number: 21
york: Topic: 28, Keyword number: 22
game: Topic: 28, Keyword number: 23
performances: Topic: 28, Keyword number: 24
film: Topic: 29, Keyword number: 0
films: Topic: 29, Keyword number: 1
good: Topic: 29, Keyword number: 2
movie: Topic: 29, Keyword number: 3
love: Topic: 29, Keyword number: 4
cameron: Topic: 29, Keyword number: 5
doesn: Topic: 29, Keyword number: 6
bit: Topic: 29, Keyword number: 7
time: Topic: 29, Keyword number: 8
isn: Topic: 29, Keyword number: 9
great: Topic: 29, Keyword number: 10
action: Topic: 29, Keyword number: 11
big: Topic: 29, Keyword number: 12
jack: Topic: 29, Keyword number: 13
half: Topic: 29, Keyword number: 14
good_hunting: Topic: 29, Keyword number: 15
